path,size_bytes,extension,corpus,guessed_class
ios/Frameworks/TailscaleKit.xcframework/ios-arm64_x86_64-simulator/TailscaleKit.framework/TailscaleKit,48160768,[none],unknown,other
vendor/libtailscale/swift/build/Build/Products/Release-iphonefat/TailscaleKit.xcframework/ios-arm64_x86_64-simulator/TailscaleKit.framework/TailscaleKit,48160768,[none],app_bundles,other
vendor/libtailscale/swift/build/Build/Products/Release-iphonesimulator/TailscaleKit.framework/TailscaleKit,48160768,[none],app_bundles,other
rhea-dash/target/debug/deps/rhea_dash-e757c40e8bf23431,42683432,[none],ui_assets,other
rhea-dash/target/debug/rhea-dash,42683432,[none],ui_assets,other
rhea-dash/target/debug/deps/libnaga-131a1a0d8ce55628.rlib,41363792,.rlib,ui_assets,other
.venv/lib/python3.11/site-packages/grpc/_cython/cygrpc.cpython-311-darwin.so,37603696,.so,unknown,binary_artifact
src/.venv/lib/python3.11/site-packages/grpc/_cython/cygrpc.cpython-311-darwin.so,37603696,.so,unknown,binary_artifact
rhea-dash/target/debug/deps/rhea_dash-b4c7f35a428b340c,35795448,[none],ui_assets,other
.entire/metadata/261278d3-25c3-4789-93e7-bfcc23c40cd5/full.jsonl,33751001,.jsonl,unknown,other
RheklGemini.webarchive,27208615,.webarchive,unknown,other
vendor/libtailscale/libtailscale_ios_sim_arm64.a,27083520,.a,unknown,binary_artifact
vendor/libtailscale/libtailscale_ios.a,27082960,.a,unknown,binary_artifact
rhea-cli/target/debug/deps/libreqwest-05d8f6d2f82eb2d6.rlib,27028928,.rlib,unknown,other
.git/objects/c3/9a2302f2120b41d55bd0186e908b2447f18373,27016427,[none],unknown,other
ios/RheaPreview.swiftpm/.build/repositories/Pow-f09b3ff5/objects/pack/pack-41662389971e0b1d347c91c221fa00cd3781381a.pack,27015081,.pack,unknown,other
.git/objects/21/457194a6b44b5ff1ac5f98885e3ed52179565b,26982847,[none],unknown,other
packages/RheaKit/.build/index-build/repositories/Pow-4ef6615c/objects/pack/pack-25f0f9663b22981f276e1f69a1346e59d29213a9.pack,26979815,.pack,ui_assets,other
ios/RheaApp/build/DerivedData/SourcePackages/repositories/Pow-4ef6615c/objects/pack/pack-557b09286b33bca0582509ef284585de9b169787.pack,26978882,.pack,app_bundles,other
